study,cancer_type,protein,transcript,expression
GTEX,GTEX Adrenal Gland,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -5.574, ""whislo"": -9.966, ""whishi"": -2.466, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Adrenal Gland,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -4.608, ""q1"": -9.966, ""q3"": -3.24275, ""whislo"": -9.966, ""whishi"": -0.5973, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adrenal Gland,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.548], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Adrenal Gland,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.035, -3.626, -3.171, -3.047, -1.884, -2.245, -3.626, -2.727, -4.608, -2.635, -6.506, -2.635, -3.171, -3.171, -2.727, -4.035, -4.035, -2.466, -3.816], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Bladder,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.626, -2.826], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bladder,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -3.171, ""whislo"": -9.966, ""whishi"": -1.595, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bladder,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [0.7664, -1.392], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bladder,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.608, ""whislo"": -9.966, ""whishi"": -3.816, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Bladder,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -4.035, ""q1"": -9.966, ""q3"": -2.635, ""whislo"": -9.966, ""whishi"": 2.029, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Bladder,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.552], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Bladder,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Blood,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -1.732, ""q1"": -9.966, ""q3"": 2.21775, ""whislo"": -9.966, ""whishi"": 7.576, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": 0.9789, ""q1"": -0.7108, ""q3"": 3.59625, ""whislo"": -6.506, ""whishi"": 7.971, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -1.2309999999999999, ""q1"": -9.966, ""q3"": 2.1225, ""whislo"": -9.966, ""whishi"": 6.34, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.57325, ""whislo"": -9.966, ""whishi"": 5.556, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Blood,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": 2.0705, ""q1"": 0.628525, ""q3"": 4.9965, ""whislo"": -5.574, ""whishi"": 9.502, ""fliers"": [-9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.162, ""whislo"": -9.966, ""whishi"": 2.783, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Blood,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -1.1975, ""q1"": -4.293, ""q3"": 1.86975, ""whislo"": -9.966, ""whishi"": 7.727, ""fliers"": [], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Blood Vessel,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.047, -2.826, -6.506, -1.831, -1.595, -5.574, -4.293, -4.035, -4.293, -5.012, -2.315, -4.293, -3.626, -4.608, -5.012, -2.315, -2.826, -4.293, -4.035, -4.035, -3.816, -3.626, -2.932, -3.308, -3.816, -2.466, -4.293, -3.047, -0.9686, -3.626, -4.035, -2.548, -6.506, -3.458, -3.626, -3.626, -2.548, -4.608, -4.035, -3.816, -4.293, -3.626, -4.035, -5.574, -0.5543, -4.608, -3.308, -4.035, -2.826, -4.293, -3.626, -2.932, -3.626, -1.884, -4.293, -2.932, -3.308, -6.506, -2.826, -5.012, -6.506, -3.626, -3.816, -4.293, -4.035, -2.635, -4.608, -2.932, -4.035, -5.012, -2.114, -5.012, -2.466, -3.308, -2.932, -3.458, -2.466, -3.816, -5.574, -4.035, -2.548, -3.458, -4.035, -2.053, -3.816, -4.293, -4.293, -3.626, -4.035, -3.171, -1.181, -3.626, -3.626, -4.035, -4.035, -3.308, -3.047, -4.608, -2.727, -3.308, -3.626, -4.035, -5.012, -1.732, -4.293, -1.781, -2.548, -3.171, -4.035, -3.816, -3.308, -3.308, -3.171, -3.816, -2.727, -2.932, -1.595, -2.548], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood Vessel,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.293, ""whislo"": -9.966, ""whishi"": 3.355, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood Vessel,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-0.8339, -1.595, -1.283, -0.9686, -1.056, -1.318, 0.8568, -1.884, -2.466, -0.6416, -2.114, -0.3383, -4.608, -3.458, -0.4921, -1.431, -2.727, -1.181, -1.552, -1.732, -1.938, -0.6416, -2.466, -0.1345, -1.355, -2.932, -0.1187, -0.5756, -2.932, -2.548, -3.626, -3.816, -4.293, -3.626, -3.171, -0.4719, -4.293, -3.458, -2.245, -1.47, 1.317, 0.2277, -0.9406], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood Vessel,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.727, -2.826, -3.458, -3.816, -1.884, -3.626, -1.51, -2.466, -5.012, -3.626, 0.1257, -4.608, -5.574, -3.458, -2.388, -3.308, -2.932, -1.51, -4.035, -2.932, -4.293, -4.293, -5.012, -3.626, -2.315, -3.816, -5.012, -2.388, -2.388, -4.608, -2.548, -4.035, -6.506, -4.608, -5.574, -4.608, -2.635, -4.293, -3.816, -4.293, -3.047, -1.47, -4.608, -3.626, -2.932, -3.816, -3.047, -4.608, -2.932, -2.053, -5.012, -5.574, -1.994, -3.047, -6.506, -2.466, -2.826, -2.727, -3.171, -4.035, -1.552, -2.315, -4.035, -3.171, -1.47, -5.012, -3.816, -3.816, -1.938, -3.458, -3.458, -3.308, -4.608, -3.308, -2.388, -3.816, -5.012, -1.884, -4.608, -5.012, -2.315, -4.035, -4.293, -6.506, -1.086, -5.012, -3.308, -2.727, -3.816, -4.608, -6.506, -5.574, -3.308, -3.458, -5.574, -2.826, -5.012, -4.035, -5.012, -5.574, -3.816, -4.293, -4.035, -0.5756, -5.012, -2.315, -3.816, -3.171, -5.012, -3.626, -2.727, -5.012, -3.458, -3.047, -1.732, -4.293, -2.727, -6.506, -4.035, -3.308, -3.458, -2.932, -4.035, -5.574, -2.388, -3.816, -6.506, -3.816, -5.574, -2.245, -6.506, -4.608, -0.2498, -2.466, -2.466, -3.308, -3.308, -5.574, -4.293, -5.012, -4.035, -4.608, -1.884, -6.506, -4.035, -3.308, -5.012, -3.816, -2.635, -0.5756], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Blood Vessel,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -4.035, ""q1"": -9.966, ""q3"": -2.245, ""whislo"": -9.966, ""whishi"": 3.351, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood Vessel,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.635, -1.938, -1.552, -3.458, -3.626, -1.884, -1.938, -1.355, -2.245], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Blood Vessel,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.308, -5.012, -4.035, -0.6873, -2.466, -3.047, -1.392, -3.171, -4.608, -2.178, -1.884, -1.392, -6.506, -3.458, -0.8084, -1.117, -1.214, -2.826, -3.047, -2.466, -0.3566, -4.608, -2.178, -1.994, -2.245, -1.026, -3.626, -1.117, -2.635, -5.574, -1.831, -3.626, -2.466, -1.248, -2.315, 1.202, -4.608, -2.178, -1.938, -4.035, -2.548, -2.548, -2.388, -1.994, -2.315, -1.431, -0.0425, -2.548, -1.552, 1.264, -0.5973, -1.51, -0.3752, -1.283, -1.685, -2.178, -1.431, -1.431, -3.047, -3.308, -1.685, -1.51, -2.727, -1.884, -1.994, -1.994, 0.9115, -2.932, -2.388, -4.608, -0.6193, -6.506, -1.732, 0.547, -1.994, -2.727, -2.388, -2.635, -4.293, -3.308, -1.318, -3.047, 0.0158, -2.053, -1.248, -5.574, -5.012, -2.932, -3.171, -3.626], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Bone Marrow,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.458, -3.816, -6.506, -6.506, -6.506], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bone Marrow,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -6.506, -5.574], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bone Marrow,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bone Marrow,Isoform 2,ENST00000528313,"{""label"": ""ENST00000528313"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-6.506, -2.466, -5.012, -4.293, -4.608, -4.608, -4.608, -3.308, -5.574, -6.506, -5.574, -4.608, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Bone Marrow,Isoform 3,ENST00000532073,"{""label"": ""ENST00000532073"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -5.574, ""whislo"": -9.966, ""whishi"": -2.548, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Bone Marrow,Isoform 4,ENST00000532491,"{""label"": ""ENST00000532491"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Bone Marrow,Isoform 5,ENST00000533306,"{""label"": ""ENST00000533306"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.932], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Brain,Isoform 1,ENST00000345732,"{""label"": ""ENST00000345732"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-5.012, -5.012, -4.293, -3.816, -5.574, -4.035, -4.035, -6.506, -3.626, -4.608, -4.608, -4.608, -5.012, -4.293, -5.012, -5.574, -3.171, -4.293, -2.315, -4.293, -5.012, -5.574, -4.035, -2.826, -3.626, -5.574, -3.626, -4.608, -5.012, -4.608, -4.608, -4.035, -3.171, -4.293, -2.826, -5.012, -5.574, -3.308, -6.506, -3.816, -5.012, -4.293, -4.608, -0.3022, -5.574, -4.035, -4.608, -3.816, -3.458, -5.574, -4.293, -6.506, -5.574, -5.574, -5.012, -3.458, -6.506, -4.293, -2.548, -3.816, -3.047, -4.293, -6.506, -4.608, -4.608, -6.506, -5.012, -5.012, -5.574, -6.506, -4.608, -4.293, -4.293, -5.574, -4.608, -5.574, -4.608, -5.012, -3.308, -5.012, -4.035, -4.293, -3.816, -6.506, -3.816, -4.035, -2.635, -4.608, -6.506, -5.574, -5.574, -3.816, -4.293, -3.626, -5.012, -3.308, -5.012, -4.608, -4.293, -5.012, -5.012, -5.012, -4.293, -4.035, -3.458, -3.816, -5.574, -3.816, -5.574, -5.574, -4.293, -3.816, -3.816, -4.608, -4.035, -3.308, -5.012, -4.293, -4.608, -4.293, -4.293, -4.608, -1.685, -4.293, -2.178, -6.506, -5.012, -4.293, -3.308, -5.574, -4.608, -3.626, -5.574, -5.574, -3.171, -4.035, -5.012, -4.608, -3.047, -3.458, -2.548, -3.816, -3.458, -5.012, -3.171, -4.293, -4.035, -5.012, -4.608, -5.012, -6.506, -3.816, -3.308, -5.574, -3.816, -4.608, -5.574, -5.012, -4.293, -6.506, -5.012, -3.308, -3.816, -4.608, -4.035, -4.608, -4.608, -3.047, -4.608, -5.012, -5.012, -3.047, -3.308, -5.012, -5.012, -5.012, -6.506, -2.727], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Brain,Isoform 1,ENST00000389939,"{""label"": ""ENST00000389939"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.932, -3.458, -2.826, -5.012, -4.608, -3.308, -4.293, -4.608, -4.608, -4.035, -6.506, -2.727, -1.884, -5.012, -3.626, -3.047, -2.466, -4.608, -3.816, -6.506, -3.308, -6.506, -6.506, -4.293, -4.293, -4.608, -3.458, -3.816, -5.574, -6.506, -3.171, -2.466, -4.608, -4.293, -3.816, -6.506, -2.727, -3.308, -3.171, -3.458, -4.293, -6.506, -2.315, -5.574, -4.608, -4.608, -3.308, -5.574, -4.035, -4.608, -5.012, -2.315, -5.012, -0.4131, -6.506, -2.635, -4.293, -2.178, -3.626, -6.506, -3.816, -3.626, -3.458, -1.47, -4.035, -0.9971, -5.012, -2.114, -2.245, -4.035, -2.053, -5.012, -3.626, -4.608, -4.035, -5.012, -5.012, -2.826, -4.035, -1.994, -4.293, -4.035, -4.608, -6.506, -4.035, -4.035, -3.816, -6.506, -4.608, -3.458, -3.171, -5.012, -4.293, -4.293, -1.51, -4.035, -3.458, -3.816, -5.574, -5.574, -5.574, -1.47, -2.727, -2.932, -3.626, -3.626, -3.308, -5.012, -5.012, -3.458, -4.293, -3.626, -5.012, -3.816, -5.574, -2.826, -4.608], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Brain,Isoform 1,ENST00000534668,"{""label"": ""ENST00000534668"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -3.626, -2.466, -6.506, -1.51, -3.626, -5.574, -3.626, -3.816, -3.626, -3.308, -6.506, -4.035, -2.466, -1.938, -4.608, -4.293, -5.012, -3.171, -5.574, -5.574, -3.458, -3.047, -5.012, -4.035, -4.293, -2.053], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
